tipo,fecha,id_tuit,id_conversacion,cuenta_origen,texto,referencia_anuncio,likes,rts
ANUNCIO,2026-03-08 04:57:37+00:00,2030508213037072443,2030508213037072443,basubte,#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,,7,0
REACCION,2026-03-09 15:51:07+00:00,2031035057662509379,,basubte,@basubte Soretes del orto…. Lo mínimo que tendrían que hacer es informar en el subte que no paran en tribunales. No tienen ninguna consideración con el usuario.,#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,0,0
REACCION,2026-03-09 13:06:11+00:00,2030993551257948425,,basubte,"@basubte Estación Corrientes de la línea H para combinar con la línea B Pueyrredón, cartel hace un año que dice ""no combina con línea B"" cuando en realidad sí combina. Ese cartel lo pusieron por arreglos en Pueyrredón y no se podía combinar.  Desidia total. Saquen el cartel, confunde!",#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,0,0
REACCION,2026-03-09 11:58:15+00:00,2030976457179017691,,basubte,"@basubte Recién se normalizó la linea D. Amén del calor insoportable en las estaciones sin un mísero tiraje de aire. Cero estaciones desde 2019. Para la ultraderecha los laburantes somos basura. El porteño se lo merece. Impuestos de París, Ginebra, Londres, servicios de El Cairo.",#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,0,0
REACCION,2026-03-09 09:44:07+00:00,2030942699872821295,,basubte,@basubte La frecuencia de mierda la piensan dejar así? LPMQLP,#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,1,0
ANUNCIO,2026-03-08 04:56:36+00:00,2030507958543499358,2030507958543499358,basubte,#Subte | Línea B: Estación Malabia cerrada por obras de renovación integral.,,10,1
REACCION,2026-03-09 13:06:18+00:00,2030993580244832547,,basubte,"@basubte Estación Corrientes de la línea H para combinar con la línea B Pueyrredón, cartel hace un año que dice ""no combina con línea B"" cuando en realidad sí combina. Ese cartel lo pusieron por arreglos en Pueyrredón y no se podía combinar.  Desidia total. Saquen el cartel, confunde!",#Subte | Línea B: Estación Malabia cerrada por obras de renovación integral.,0,0
REACCION,2026-03-09 12:12:19+00:00,2030979997544972535,,basubte,@basubte Cuando abre malabia????? Mas de 3 meses,#Subte | Línea B: Estación Malabia cerrada por obras de renovación integral.,1,0
REACCION,2026-03-09 11:59:42+00:00,2030976819223040440,,basubte,@basubte Hagan mas estaciones!!! O solo piensan en robar hdp!!!,#Subte | Línea B: Estación Malabia cerrada por obras de renovación integral.,0,0
REACCION,2026-03-08 07:51:42+00:00,2030552021439328476,,basubte,"@basubte Le arrancaron los cerámicos para ponerle otros sin respetar el diseño. Los que estaban eran de 1930, casi centenarios ""pero el Patrimonio, el Cuidado y coso...."" Son imbéciles o están robando con la obra pública? @jorgemacri @claramuzzio @pberecia @javier_ibaniez @basubte https://t.co/wgJmEJED43",#Subte | Línea B: Estación Malabia cerrada por obras de renovación integral.,3,0
ANUNCIO,2026-03-08 04:56:36+00:00,2030507956756762778,2030507956756762778,basubte,#Subte | Línea A: Congreso y Piedras cerradas por obras de renovación integral,,7,1
REACCION,2026-03-09 13:06:24+00:00,2030993607503601692,,basubte,"@basubte Estación Corrientes de la línea H para combinar con la línea B Pueyrredón, cartel hace un año que dice ""no combina con línea B"" cuando en realidad sí combina. Ese cartel lo pusieron por arreglos en Pueyrredón y no se podía combinar.  Desidia total. Saquen el cartel, confunde!",#Subte | Línea A: Congreso y Piedras cerradas por obras de renovación integral,0,0
REACCION,2026-03-09 11:59:57+00:00,2030976881848123417,,basubte,@basubte Cuando abren congreso? Pueden dar una fecha estimada desde diciembre esta cerrada,#Subte | Línea A: Congreso y Piedras cerradas por obras de renovación integral,0,0
ANUNCIO,2026-03-08 03:09:08+00:00,2030480912731844930,2030480912731844930,basubte,#Subte | Línea H: Servicio finalizado,,5,0
REACCION,2026-03-09 13:06:36+00:00,2030993655482155171,,basubte,"@basubte Estación Corrientes de la línea H para combinar con la línea B Pueyrredón, cartel hace un año que dice ""no combina con línea B"" cuando en realidad sí combina. Ese cartel lo pusieron por arreglos en Pueyrredón y no se podía combinar.  Desidia total. Saquen el cartel, confunde!",#Subte | Línea H: Servicio finalizado,0,0
ANUNCIO,2026-03-08 03:07:07+00:00,2030480405845909602,2030480405845909602,basubte,#Subte | Línea E: Servicio finalizado,,2,0
REACCION,2026-03-09 13:06:45+00:00,2030993695982416380,,basubte,"@basubte Estación Corrientes de la línea H para combinar con la línea B Pueyrredón, cartel hace un año que dice ""no combina con línea B"" cuando en realidad sí combina. Ese cartel lo pusieron por arreglos en Pueyrredón y no se podía combinar.  Desidia total. Saquen el cartel, confunde!",#Subte | Línea E: Servicio finalizado,0,0
ANUNCIO,2026-03-08 03:04:06+00:00,2030479646710513991,2030479646710513991,basubte,#Subte | Línea D: Servicio finalizado,,9,0
ANUNCIO,2026-03-08 03:02:06+00:00,2030479139904389577,2030479139904389577,basubte,#Subte | Línea C: Servicio finalizado,,5,1
ANUNCIO,2026-03-08 03:00:05+00:00,2030478633056243734,2030478633056243734,basubte,#Subte | Línea A: Servicio finalizado,,5,0
ANUNCIO,2026-03-07 21:44:47+00:00,2030399286244999281,2030399286244999281,basubte,#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,,10,0
REACCION,2026-03-09 12:00:58+00:00,2030977137688076424,,basubte,"@basubte Renovación? De qué? El servicio es una verga, no veo la hora que el Mitre funcione hasta Retiro pedazo de mierdas.",#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,0,0
REACCION,2026-03-08 01:00:22+00:00,2030448505286717930,,basubte,@basubte Ya abrieron Uruguay?,#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,0,0
ANUNCIO,2026-03-07 21:34:44+00:00,2030396758690316317,2030396758690316317,basubte,#Subte | Línea B: Servicio normalizado,,5,0
REACCION,2026-03-07 21:38:13+00:00,2030397635073298889,,basubte,@basubte Estoy en Lacroze y las puertas están cerradas,#Subte | Línea B: Servicio normalizado,0,0
ANUNCIO,2026-03-07 20:27:28+00:00,2030379828017291656,2030379828017291656,basubte,#Subte | Línea B: Servicio limitado entre las estaciones Leandro N. Alem y Federico Lacroze,,8,0
REACCION,2026-03-08 02:03:02+00:00,2030464276222070936,,basubte,@basubte Y por qué carajos está limitado la re puta madre,#Subte | Línea B: Servicio limitado entre las estaciones Leandro N. Alem y Federico Lacroze,3,0
REACCION,2026-03-07 23:00:43+00:00,2030418394051121433,,basubte,"@basubte Mentira, estaba cerrado Lacroze",#Subte | Línea B: Servicio limitado entre las estaciones Leandro N. Alem y Federico Lacroze,0,0
REACCION,2026-03-07 21:26:41+00:00,2030394733202219416,,basubte,@basubte Qué pasó??,#Subte | Línea B: Servicio limitado entre las estaciones Leandro N. Alem y Federico Lacroze,0,0
REACCION,2026-03-07 20:45:57+00:00,2030384479496241197,,basubte,@basubte Justo que pago y escucho parece que con cada pago se activa el parlante,#Subte | Línea B: Servicio limitado entre las estaciones Leandro N. Alem y Federico Lacroze,2,0
REACCION,2026-03-07 20:37:33+00:00,2030382365026005248,,basubte,@basubte Por que,#Subte | Línea B: Servicio limitado entre las estaciones Leandro N. Alem y Federico Lacroze,0,0
ANUNCIO,2026-03-07 20:16:25+00:00,2030377048573673627,2030377048573673627,basubte,#Subte | Línea B: Servicio con demora,,7,0
REACCION,2026-03-07 21:08:06+00:00,2030390053726192093,,basubte,@basubte Tiraron un changuito de supermercado a las vías y lo agarro el subte. Servicio cancelado,#Subte | Línea B: Servicio con demora,0,0
REACCION,2026-03-07 21:03:41+00:00,2030388941124256122,,basubte,@basubte Y malabia?  Eran 2 meses cerrados y llevamos 3 y contando.  Vas a responder y solo fingir locura   @jorgemacri  y vos? Algo para decir?  A los vecinos de Villa crespo?,#Subte | Línea B: Servicio con demora,3,0
ANUNCIO,2026-03-07 05:00:38+00:00,2030146582859878737,2030146582859878737,basubte,#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,,6,1
ANUNCIO,2026-03-07 03:07:08+00:00,2030118022178808232,2030118022178808232,basubte,#Subte | Línea H: Servicio finalizado,,3,0
ANUNCIO,2026-03-07 03:07:08+00:00,2030118020815753294,2030118020815753294,basubte,#Subte | Línea E: Servicio finalizado,,3,0
ANUNCIO,2026-03-07 03:06:07+00:00,2030117766292807964,2030117766292807964,basubte,#Subte | Línea D: Servicio finalizado,,4,1
ANUNCIO,2026-03-07 03:06:07+00:00,2030117764254298137,2030117764254298137,basubte,#Subte | Línea C: Servicio finalizado,,4,0
ANUNCIO,2026-03-07 03:06:06+00:00,2030117762299736252,2030117762299736252,basubte,#Subte | Línea A: Servicio finalizado,,7,0
