texto_anuncio_limpio,pilar,total_respuestas,NEG,NEU,POS,%_NEG,%_NEU,%_POS,sentimiento_predominante
"#AUDELLEPIANE HABILITADA Desde ayer que ya se puede transitar la autopista tanto hacia Ezeiza como sentido a #Au25deMayo, tras el megaoperativo de de instalación del nuevo puente de calle Río Negro, en Soldati.",Transporte,1,0,1,0,0.0,100.0,0.0,NEU
"#AUDELLEPIANE LIBRE 🛣️ Tras el megaoperativo, que se mantuvo pese a la lluvia, se completaron las obras de . Instalaron el nuevo puente vehicular y peatonal de la calle Río Negro, que cruza la autopista del sur de la Ciudad. Habilitado el tránsito en ambos sentidos.",Transporte,4,3,1,0,75.0,25.0,0.0,NEG
"#CHOQUE EN #AUMORENO 💥 Quedan 2 carriles restringidos sentido #GENERALPAZ altura Rivadavia, tras colisión de 2 autos con 4 heridos. Finalizó el operativo del helicóptero del #SAME, que trasladó a 2 heridos al Argerich. Seguridad Vial de habilitó el #tránsito.",Transporte,2,2,0,0,100.0,0.0,0.0,NEG
#CHOQUE EN #PANAMERICANA 💥 Ramal Pilar altura TOM sentido al norte. Camión impactó en altura con el puente Fonavi. 📲,Transporte,13,11,1,1,84.61538461538461,7.6923076923076925,7.6923076923076925,NEG
#CHOQUE EN AVENIDA 27 DE FEBRERO 💥 #Motociclista herido altura Pergamino sentido a Pompeya. Herido trasladado por SAME al hospital Grierson. 🚑,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#CHOQUE EN RECOLETA 💥 Auto y moto en Figueroa Alcorta y Pueyrredon.,Transporte,1,0,1,0,0.0,100.0,0.0,NEU
#CHOQUES EN LA MADRUGADA 💥 #Motociclista chocó contra autos estacionados en Ruiz de los Llanos 471 entre Miranda y Alcaraz. 💥 #Motociclista caído en Patricias Argentinas entre Angel Gallardo y Antonio Machado. 💥 #GeneralPaz ya libre altura #Panamericana sentido Riachuelo,Transporte,2,2,0,0,100.0,0.0,0.0,NEG
"#CORTE DE AVENIDA DEL LIBERTADOR ⚠️ Por la Marcha de #LaCampora desde la exESMA hacia la casa de CFK, el #tránsito en ambos sentidos se reduce a un carril por mano en la zona de Núñez.",Transporte,2,0,2,0,0.0,100.0,0.0,NEU
#CORTE EN SAN JUAN Y BOEDO Es porque San Lorenzo presenta si nueva camiseta ⚽,Transporte,4,2,2,0,50.0,50.0,0.0,NEG
"#CORTE TOTAL DE ÁLVAREZ THOMAS ⛔ Anoche se cerró completamente la barrera a metros de Monroe, donde construirá un nuevo #túnel en la Ciudad. Agentes de #tránsito desvian hacia paso bajo nivel Pacheco, a sólo 100 metros. Por la tarde habilitarán barrera por Miller.",Transporte,9,3,6,0,33.33333333333333,66.66666666666666,0.0,NEU
"#Choque en 💥 Balizado el km 4,5 sentido a #Panamericana.",Transporte,1,1,0,0,100.0,0.0,0.0,NEG
"#Corte por #Bomberos en José Bonifacio y Lafuente, en #Flores. mó",Transporte,1,0,1,0,0.0,100.0,0.0,NEU
#LíneaA - Congreso y Piedras cerradas por obras de renovación integral. 14:20,Transporte,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NEG
#LíneaA - Congreso y Piedras cerradas por obras de renovación integral. 22:21,Transporte,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NEG
#LíneaA - Estación Piedras cerrada por obras renovación integral. 20:19,Transporte,3,3,0,0,100.0,0.0,0.0,NEG
#LíneaA - Reabrió la estación Congreso Piedras cerrada por obras. 20:16,Transporte,5,4,1,0,80.0,20.0,0.0,NEG
#LíneaA Las formaciones no se detiene en la estación Congreso por operativo de seguridad en la vía publica. Piedras continúa cerrada por obras.,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#LíneaB - Circula con demora. 21:12,Transporte,1,0,1,0,0.0,100.0,0.0,NEU
#LíneaB - Circula con servicio limitado entre las estaciones Leandro N. Alem y Federico Lacroze. 17:27,Transporte,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NEG
#LíneaB - Estación Malabia cerrada por obras de renovación integral. 04:00,Transporte,5,4,1,0,80.0,20.0,0.0,NEG
#LíneaB - Estación Malabia cerrada por obras de renovación integral. 21:52,Transporte,6,6,0,0,100.0,0.0,0.0,NEG
#LíneaB - Estación Malabia cerrada por obras de renovación integral. 22:21,Transporte,5,4,1,0,80.0,20.0,0.0,NEG
#LíneaB - Presta su servicio completo entre cabeceras normalizando su frecuencia habitual. 18:34,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#LíneaB - Presta su servicio completo entre cabeceras normalizando su frecuencia habitual. 21:49,Transporte,2,2,0,0,100.0,0.0,0.0,NEG
#LíneaB - Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación. 09:49,Transporte,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NEG
#LíneaB - Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación. 12:38,Transporte,3,1,2,0,33.33333333333333,66.66666666666666,0.0,NEU
#LíneaB - Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación. 18:44,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#LíneaC - Ya funciona con su frecuencia habitual. 17:27,Transporte,2,2,0,0,100.0,0.0,0.0,NEG
#LíneaD - Circula con demora. 09:00,Transporte,8,8,0,0,100.0,0.0,0.0,NEG
#LíneaD - Circula con demora. 14:11,Transporte,2,2,0,0,100.0,0.0,0.0,NEG
#LíneaD - Circula con demora. 15:12,Transporte,4,4,0,0,100.0,0.0,0.0,NEG
#LíneaD - Circula con demora. 18:23,Transporte,12,12,0,0,100.0,0.0,0.0,NEG
#LíneaD - Estación Tribunales cerrada por obras de renovación integral. 04:00,Transporte,1,0,0,1,0.0,0.0,100.0,POS
#LíneaD - Estación Tribunales cerrada por obras de renovación integral. 16:00,Transporte,3,3,0,0,100.0,0.0,0.0,NEG
#LíneaD - Estación Tribunales cerrada por obras de renovación integral. 19:09,Transporte,4,4,0,0,100.0,0.0,0.0,NEG
#LíneaD - Estación Tribunales cerrada por obras de renovación integral. 20:29,Transporte,3,0,3,0,0.0,100.0,0.0,NEU
#LíneaD - Estación Tribunales cerrada por obras de renovación integral. 23:13,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#LíneaD - Servicio limitado entre las estaciones Catedral - Agüero Palermo - Congreso de Tucumán. 14:18,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#LíneaD - Ya funciona con su frecuencia habitual. 15:53,Transporte,2,1,1,0,50.0,50.0,0.0,NEG
#LíneaD - Ya funciona con su frecuencia habitual. 19:02,Transporte,4,3,1,0,75.0,25.0,0.0,NEG
#LíneaD - Ya funciona con su frecuencia habitual. 20:22,Transporte,3,3,0,0,100.0,0.0,0.0,NEG
"#METRODELEGADOS LIBERAN MOLINETES 🚇 Será sólo en la estación Congreso de Tucumán del #Subte D, desde las 7AM, como parte de las acciones del #8M. Reclaman la reincorporación de Araceli Pintos, despedida tras denunciar acoso sexual por parte de un policía de la Ciudad.",Transporte,1,1,0,0,100.0,0.0,0.0,NEG
"#PANAMERICANA INFERNAL 🛣️ La congestión arranca apenas después del cruce los peajes Ford y Tortuguitas sentido a Capital. No menos de 1:40 para llegar a la #GeneralPaz. Sin reporte de incidentes graves, todo tránsito lento.",Transporte,20,13,6,1,65.0,30.0,5.0,NEG
"#PANAMERICANA Y #AUOESTE YA COBRAN DOBLE SIN TELEPASE El sábado no sólo aumentaron el Peaje, también comenzó dormido a penalizar el pago manual, ya sea en efectivo o mediante QR o contactless en los nuevos tótems. Acá te detallo 👇🏽",Transporte,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NEG
"#Panamericana es un lujo los viernes 🛣️ En apenas 30 minutos hacés de Escobar a Martinez. Sin detenimientos, sin congestión. No sólo ingresan menos autos a capital desde Zona Norte... HAY MUCHOS MENOS CAMIONES!!!!",Transporte,23,13,9,1,56.52173913043478,39.130434782608695,4.3478260869565215,NEG
#Premetro - Circula con destino único a Centro Cívico Lugano. 14:25,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#Premetro - Presta su servicio completo entre cabeceras normalizando su frecuencia habitual. 14:50,Transporte,2,2,0,0,100.0,0.0,0.0,NEG
#Subte C opera con demoras,Transporte,1,0,1,0,0.0,100.0,0.0,NEU
#Subte D con demoras 🚇,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#Subte | Línea A: 16/03 reabre la estación Congreso. Piedras cerrada por obras.,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#Subte | Línea A: Estación Piedras cerrada por obras renovación integral.,Transporte,2,1,1,0,50.0,50.0,0.0,NEG
#Subte | Línea A: Los trenes no se detienen en Congreso por operativo policial en vía pública,Transporte,3,1,2,0,33.33333333333333,66.66666666666666,0.0,NEU
#Subte | Línea A: Los trenes no se detienen en la estación Piedras,Transporte,1,0,1,0,0.0,100.0,0.0,NEU
#Subte | Línea A: Reabrió la estación Congreso Piedras cerrada por obras.,Transporte,7,4,2,1,57.14285714285714,28.57142857142857,14.285714285714285,NEG
#Subte | Línea A: Ya se detienen en todas las estaciones.,Transporte,1,0,1,0,0.0,100.0,0.0,NEU
#Subte | Línea B: Estación Malabia cerrada por obras de renovación integral.,Transporte,16,12,4,0,75.0,25.0,0.0,NEG
#Subte | Línea B: Malabia cerrada por obras de renovación integral.,Transporte,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NEG
#Subte | Línea B: Servicio con demora,Transporte,4,4,0,0,100.0,0.0,0.0,NEG
