tipo,fecha,id_tuit,id_conversacion,cuenta_origen,texto,referencia_anuncio,likes,rts
ANUNCIO,2026-03-21 00:11:54+00:00,2035147350193123713,2034032714362360230,ibaistrocchi,@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,,0,0
REACCION,2026-03-20 22:04:38+00:00,2035115323817374104,,ibaistrocchi,@ibaistrocchi Yo si fuera vos cortaría cabezas. Hermoso fin de semana de olor a mierda nos espera.    @AguanteCerebro que opinas de este? https://t.co/sjrVuqstXs,@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,0,0
REACCION,2026-03-20 20:19:26+00:00,2035088851249569902,,ibaistrocchi,@ibaistrocchi @buenosvecinosBA Empiecen a legislar y reglamentar sobre los deck que ocupan el espacio público y son nidos de ratas,@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,0,0
REACCION,2026-03-20 20:18:10+00:00,2035088530779627935,,ibaistrocchi,@ibaistrocchi @buenosvecinosBA https://t.co/PcaP193MGD  Hago un relevamiento hace años... Palermo es la Capital del Volquete,@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,0,0
REACCION,2026-03-20 11:09:13+00:00,2034950382653214888,,ibaistrocchi,"@ibaistrocchi Guido y Junin frente al  Cementerio de Recoleta, sacá esta mugre de acá https://t.co/68dv4SnftH",@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,0,0
REACCION,2026-03-19 20:38:13+00:00,2034731189152489556,,ibaistrocchi,@ibaistrocchi Hoy 19 marzo 11h: contenedor de obra que no cumple: Av Corrientes1267. Y otro: Lavalle 1106 a las 2pm aprox.,@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,0,0
REACCION,2026-03-19 19:24:47+00:00,2034712707040235712,,ibaistrocchi,@ibaistrocchi Gracias,@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,0,0
REACCION,2026-03-19 19:12:35+00:00,2034709639099510890,,ibaistrocchi,@ibaistrocchi Donde siempre San Pedrito 285.,@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,0,0
REACCION,2026-03-19 13:51:03+00:00,2034628720934219903,,ibaistrocchi,"@ibaistrocchi O sea, q van a estar toda la semana, salvo el Domingo? Otra, esto es de ayer del lugar q digo siempre, a la noche no lo levantaron, hoy a la mañana el barrendero, si lo hubiera, xq entiendo q avisaría si no lo puede levantar, tampoco lo levantó. Todos los días tenemos q avisarle? https://t.co/QItWeN9FrT",@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,0,0
REACCION,2026-03-19 13:36:06+00:00,2034624959708864672,,ibaistrocchi,@ibaistrocchi Y quienes controlarán q se cumplan??? #polotextil d #Flores es una muestra q sin controles y sanciones las reglas se vulneran #AGC #tránsito #espaciopúblico,@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,0,0
REACCION,2026-03-19 11:59:55+00:00,2034600755873652900,,ibaistrocchi,@ibaistrocchi Jean Jaures 896 parece que a este volquete lo Instalaron anoche sin cumplir las reglas. Quien le otorgó permiso ? Quien controla? . #Cabatierradenadie @VecinosCon5633 https://t.co/CRt51ZwxTc,@Jean__Valjean Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos! https://t.co/n5qIZmQter,1,0
