tipo,fecha,id_tuit,id_conversacion,cuenta_origen,texto,referencia_anuncio,likes,rts
ANUNCIO,2026-03-17 20:54:14+00:00,2034010442616512571,2034010437415588158,FestivalesGCBA,"Estas actividades cuentan con el apoyo de CCEBA. Entrada libre y gratuita, hasta agotar capacidad. ¡Te esperamos!",,1,0
ANUNCIO,2026-03-17 20:54:13+00:00,2034010437415588158,2034010437415588158,FestivalesGCBA,"Elisa McCausland en la Bienal de Historieta de Buenos Aires  Durante las actividades programadas en el marco de la Bienal contaremos con la presencia de Elisa McCausland, crítica cultural, investigadora y ensayista española especializada en cómic, cultura popular y feminismo. https://t.co/sQoEyVLXGZ",,7,3
ANUNCIO,2026-03-17 20:53:16+00:00,2034010198419853467,2034010192195506190,FestivalesGCBA,"A través del diálogo entre autores y especialistas, la mesa propone recorrer su trayectoria, su estilo gráfico inconfundible y la influencia de su obra en distintas generaciones de artistas.  Entrada libre y gratuita, hasta agotar capacidad. ¡Te esperamos!",,1,0
ANUNCIO,2026-03-17 20:53:15+00:00,2034010195567816986,2034010192195506190,FestivalesGCBA,"Un encuentro dedicado a la vida y obra de José Muñoz, uno de los grandes maestros de la historieta argentina y figura clave del cómic internacional.",,1,0
ANUNCIO,2026-03-17 20:53:14+00:00,2034010192195506190,2034010192195506190,FestivalesGCBA,"Charla de apertura con José Muñoz  En el marco de las actividades de la Bienal de Historieta de Buenos Aires, el jueves 19/3, a las 15.30 h, te invitamos a participar de “Destellos de José Muñoz: trazo, memoria y mundo”, con Max Aguirre, María Alcobre y Pedro Mancini. https://t.co/g1zSAnL9ux",,2,1
ANUNCIO,2026-03-17 20:51:58+00:00,2034009874296602692,2034009834232652241,FestivalesGCBA,https://t.co/cba8Ee3Mu7,,2,1
ANUNCIO,2026-03-17 20:51:56+00:00,2034009863693435383,2034009834232652241,FestivalesGCBA,https://t.co/KOseeKu3Li,,2,1
ANUNCIO,2026-03-17 20:51:53+00:00,2034009852897370417,2034009834232652241,FestivalesGCBA,https://t.co/tW95eI2BZT,,2,1
ANUNCIO,2026-03-17 20:51:51+00:00,2034009842331869409,2034009834232652241,FestivalesGCBA,"El padrino oficial de esta edición será José Muñoz, uno de los máximos referentes a nivel mundial.   ¡Te esperamos!",,2,1
ANUNCIO,2026-03-17 20:51:50+00:00,2034009838598971567,2034009834232652241,FestivalesGCBA,"Acá te mostramos la programación completa de actividades que vas a poder disfrutar durante estas jornadas dedicadas al noveno arte.   Habrá muestras, actividades especiales, charlas con invitados nacionales e internacionales, shows musicales, firmas de artistas y mucho más.",,1,1
ANUNCIO,2026-03-17 20:51:49+00:00,2034009834232652241,2034009834232652241,FestivalesGCBA,¡Conocé las actividades de la Bienal de Historieta de Buenos Aires!  Del 19 al 22 de marzo llega uno de los eventos más esperados del año y no queremos que te pierdas de nada. https://t.co/H7mbXcYeGn,,39,6
ANUNCIO,2026-03-17 20:50:03+00:00,2034009389091233939,2034009376055259475,FestivalesGCBA,Conocé la programación en https://t.co/hw228nORpS y planificá tu visita. ¡Te esperamos!,,2,0
REACCION,2026-03-18 17:59:53+00:00,2034328955143049614,,FestivalesGCBA,@FestivalesGCBA Y habrá spidermans también ! 😆😁...ssssss....,Conocé la programación en https://t.co/hw228nORpS y planificá tu visita. ¡Te esperamos!,0,0
ANUNCIO,2026-03-17 20:50:02+00:00,2034009385274384482,2034009376055259475,FestivalesGCBA,"No te pierdas la oportunidad de vivir este espacio especialmente pensado para el encuentro entre autores, editores y vecinos de la Ciudad.   Te esperamos el jueves 19/3, de 15 a 21 h, y el viernes 20, sábado 21 y domingo 22/3, de 14 a 22 h, en la Casa de la Cultura.",,3,0
ANUNCIO,2026-03-17 20:50:01+00:00,2034009381138776363,2034009376055259475,FestivalesGCBA,"Con una programación de lujo que incluye charlas con referentes nacionales e internacionales del género, exposiciones de artistas, intervenciones, firma de autores y mucho más, la Bienal de Historieta llega para quedarse.",,2,0
ANUNCIO,2026-03-17 20:49:59+00:00,2034009376055259475,2034009376055259475,FestivalesGCBA,"¡Llega la Bienal de Historieta de Buenos Aires!  Del 19 al 22 de marzo llega a la Casa de la Cultura, uno de los eventos más esperados del 2026. https://t.co/Y0Ce0Azxhx",,174,43
MENCION_DIRECTA,2026-03-19 23:05:50+00:00,2034768338602082333,2034768338602082333,FestivalesGCBA,@CoherenciaFavor mirá esto  #TUCUMAN #Argentina   Así es la provincia kuka del norte  @LANACION @clarincom @MendozaPost @Reuters @Tv_Libertaria #News #noticias #TV #Milei @todonoticias @ElChubut @JonatanVialeXD @unosantafe @FestivalesGCBA   DONDE VA LA GUITA QUE NO SE AUDITA? https://t.co/ySv6bqTv88,,0,0
MENCION_DIRECTA,2026-03-17 16:57:43+00:00,2033950924058554754,2032915822214099264,FestivalesGCBA,"@Pablo328i @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok Cuando vi la transmición del Sábado y no había nadie ( unas 500 personas máximo ), en el post que hice, puse ""ojalá"" mañana junten al menos 3000 personas! Y el número final fue el doble! Sacaron el evento adelante! Estoy seguro que la producción fué a perdida. Pero zafaron!",,0,0
MENCION_DIRECTA,2026-03-17 16:55:37+00:00,2033950391742628258,2032915822214099264,FestivalesGCBA,"@Pablo328i @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok Si a los 5000 que alguna entrada pagaron (entradas + pases vip + pases de prensa + invitaciones + personal de la categoría) le sumas unas 3000 personas que fueron a las zonas gratis, estás en 8000 personas en el público! Qué fué el número real del evento!",,0,0
MENCION_DIRECTA,2026-03-17 16:52:55+00:00,2033949714198982894,2032915822214099264,FestivalesGCBA,@Pablo328i @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok En ésta hay (lo hice a mano y confirmé con chatgpt) 950 personas.  En la tribuna de la recta principal hubo 800 personas + 400 personas en el VIP que había al lado!  Luego sumale 500 personas mas por tribuna de otros sectores. En total te da: entre 4700 y 5000 que pagaron!,,0,0
MENCION_DIRECTA,2026-03-17 12:38:10+00:00,2033885603801006388,2032915822214099264,FestivalesGCBA,@FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok No fue nadie?  https://t.co/zMTOBPY9ng,,0,0
MENCION_DIRECTA,2026-03-17 09:26:31+00:00,2033837371972571403,2033837371972571403,FestivalesGCBA,Ya con la mejor banda de sonido de @buenosaires en #ElArranque de @la2x4 desde las 9 a.m. hoy #tangueada celebrando a #AlbertoMorán con @osvaldopugliese hablamos con Horacio Rébora desde Granada y nos visita @florenciaaroldi @anibaltroilo @cultura_tango @FestivalesGCBA https://t.co/RIsEC6wFoQ,,1,0
MENCION_DIRECTA,2026-03-16 09:49:44+00:00,2033480827292520826,2033480827292520826,FestivalesGCBA,Ya con la mejor banda de sonido de @buenosaires en #ElArranque de @la2x4 desde las 9 a.m. hoy #tangueada con #RodolfoBiagi y hablamos con #norbertobarleand y @patmalanca @anibaltroilo @AHGArgentino @datacultura @FestivalesGCBA @agendaccc https://t.co/Dz6hfkWVx5,,7,3
MENCION_DIRECTA,2026-03-15 03:02:38+00:00,2033015992960352431,2032915822214099264,FestivalesGCBA,@hugolazcoz @FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok Como haber había sectores gratuitos.,,0,0
MENCION_DIRECTA,2026-03-15 02:48:18+00:00,2033012383812088294,2032915822214099264,FestivalesGCBA,@CirelliAgustin @FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok Nadie está hablando tc. Si marcas algo de una no significa que estés a favor de la otra. No todo es grieta amigo.,,1,0
MENCION_DIRECTA,2026-03-15 02:33:21+00:00,2033008621596839962,2032915822214099264,FestivalesGCBA,@fortu_76 @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok Ojalá!!!,,0,0
MENCION_DIRECTA,2026-03-15 02:31:41+00:00,2033008202384544195,2032915822214099264,FestivalesGCBA,"@FerLamasRR @lamitroneta @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok Repito, hay sectores gratuitos",,0,0
MENCION_DIRECTA,2026-03-15 02:30:43+00:00,2033007957571404119,2032915822214099264,FestivalesGCBA,@hugolazcoz @FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok Hay sectores gratuitos,,0,0
MENCION_DIRECTA,2026-03-15 01:56:30+00:00,2032999347332260297,2032915822214099264,FestivalesGCBA,"@FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok mañana se llena lamas, la entrada a las tribunas es gratis",,2,0
MENCION_DIRECTA,2026-03-15 01:55:22+00:00,2032999064007057882,2032915822214099264,FestivalesGCBA,@FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok La misma tribuna!!! https://t.co/1nBUP8gCrO,,1,0
MENCION_DIRECTA,2026-03-15 01:43:44+00:00,2032996135690809628,2032915822214099264,FestivalesGCBA,@FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok Que pedazo de fantasma sos 🐷,,2,0
MENCION_DIRECTA,2026-03-15 01:14:03+00:00,2032988665572466913,2032915822214099264,FestivalesGCBA,@FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok No t preocupes q es tc2000 y regalan entradas sino el verso a quien se lo venden https://t.co/9TVHoT96nA,,0,0
MENCION_DIRECTA,2026-03-15 01:00:06+00:00,2032985154755645622,2032915822214099264,FestivalesGCBA,"@CirelliAgustin @FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok como? JAJAJAJJ en cualquier lado el tc lleva gente, acampan desde el viernes y otros hacen fila dias antes para entrar... de que me estas hablando?",,0,0
MENCION_DIRECTA,2026-03-15 00:58:40+00:00,2032984795492335963,2032915822214099264,FestivalesGCBA,@FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok Lechón sí queres ir sin pagar tenes sectores gratis averigua!… y la plata la ponen los privados busca una queja seria,,0,0
MENCION_DIRECTA,2026-03-15 00:53:53+00:00,2032983590603014425,2032915822214099264,FestivalesGCBA,@hugolazcoz @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok Eso llamó la atención! La mas barata 60 mil y un buen lugar con tribuna 250 mil .... 🤪,,0,0
MENCION_DIRECTA,2026-03-15 00:45:08+00:00,2032981387226063063,2032915822214099264,FestivalesGCBA,@FerLamasRR @gcba @SuperTC2000 @YPFoficial @YPFServiclub @Campeonesnet @mvelocidadok @tcmemes_ @Posicion1tv @FestivalesGCBA @SobreRuedas_Ok 60mil estaban las entradas...yo pensé era gratis ni e pedo pago eso...,,2,0
